order,label,value,work_slug
1,director,Mira Lang,salt-light
2,producer,Owen Hale,salt-light
3,awards,YDA Nominee,salt-light
1,director,C. Romer,the-waiting-room
2,producer,Nia Voss,the-waiting-room
3,awards,—,the-waiting-room
1,director,Vale,glass-hours
2,producer,Atelier Norte,glass-hours
3,awards,—,glass-hours
1,director,Vale,inland-signal
2,producer,Elena Ruiz,inland-signal
3,awards,"Festival of the Image, selected",inland-signal
1,director,Vale,after-the-sitting
2,producer,—,after-the-sitting
3,awards,—,after-the-sitting
1,director,Vale,red-room-brief
2,producer,Vestis Almanac,red-room-brief
3,awards,—,red-room-brief
1,director,Gabe Caste,night-atlas
2,producer,Lauren Altieri,night-atlas
3,awards,"Santa Barbara, 2023",night-atlas
